"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
1,"[KZ]_ July",2019-07-02,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-02,2019-07-02
1,"[KZ]_ July",2019-07-03,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-03,2019-07-03
1,"[KZ]_ July",2019-07-04,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-04,2019-07-04
1,"[KZ]_ July",2019-07-05,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-05,2019-07-05
1,"[KZ]_ July",2019-07-06,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-06,2019-07-06
1,"[KZ]_ July",2019-07-07,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-07,2019-07-07
1,"[KZ]_ July",2019-07-23,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-23,2019-07-23
1,"[KZ]_ July",2019-07-24,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-24,2019-07-24
2,[RU]_July_moscow,2019-07-05,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-05,2019-07-05
2,[RU]_July_moscow,2019-07-31,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-31,2019-07-31
2,[RU]_July_moscow,2019-07-01,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-01,2019-07-01
2,[RU]_July_moscow,2019-07-02,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-02,2019-07-02
2,[RU]_July_moscow,2019-07-03,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-03,2019-07-03
2,[RU]_July_moscow,2019-07-04,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-04,2019-07-04
4,[RU]_July_moscow,2019-07-16,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-16,2019-07-16
2,[RU]_July_moscow,2019-07-06,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-06,2019-07-06
2,[RU]_July_moscow,2019-07-07,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-07,2019-07-07
2,[RU]_July_moscow,2019-07-09,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-09,2019-07-09
4,[RU]_July_moscow,2019-07-15,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-15,2019-07-15
